"","PercentageValues.Total.No.Of.Schools","PercentageValues.Schools.Approachable.By.Road.in.All.Weather","PercentageValues.Washrooms.For.Both","PercentageValues.Playground.Facilitated.Schools","PercentageValues.Boundarywall.Facilitated.Schools","PercentageValues.Drinking.Water.Facilitated.Schools","PercentageValues.Electricity.Facilitated.Schools","PercentageValues.Computer.Facilitated.Schools","PercentageValues.Mid.Day.Meal.Facilitated.Schools","PercentageValues.Total.Teachers"
"559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560",100,94.7310647639956,97.9143798024149,66.0812294182217,79.4731064763996,100,98.1339187705818,62.4588364434687,83.8638858397366,1141.16355653128
"561",100,97.9991663192997,95.4147561483952,77.1154647769904,69.237182159233,100,99.5414756148395,55.6898707794915,75.9899958315965,1079.94997915798
"562",100,98.3050847457627,95.668549905838,68.6911487758945,80.6497175141243,100,98.4934086629002,52.1186440677966,72.4576271186441,1155.4143126177
"563",100,99.261447562777,96.5288035450517,77.1048744460857,79.7636632200886,100,99.3353028064993,59.5273264401773,79.6898079763663,1124.15066469719
"564",100,97.9938271604938,97.9938271604938,73.9969135802469,85.8024691358025,100,99.4598765432099,63.5802469135803,82.5617283950617,876.388888888889
"565",100,97.2524624157595,96.1119751166407,76.3608087091757,71.7470191809227,99.8444790046656,98.5484707102125,44.530844997408,85.1736651114567,840.798341109383
"566",100,99.1379310344828,97.4137931034483,76.0536398467433,74.6168582375479,100,99.7126436781609,57.3754789272031,83.6206896551724,864.55938697318
"567",100,96.8164794007491,97.3782771535581,85.6429463171036,82.6466916354557,99.9375780274657,98.12734082397,59.0511860174782,85.5805243445693,850.873907615481
"568",100,98.8907376594565,97.6705490848586,68.2750970604548,82.8341652800887,99.9722684414864,46.561286744315,12.8951747088186,49.8613422074321,539.434276206323
"569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570",100,97.3290284707954,97.9747578514822,65.3654241267978,68.3005576753742,99.2075139418844,32.051658350455,9.27502201350161,73.3783387144115,384.796008218374
"571",100,94.1019955654102,97.649667405765,59.5565410199557,82.1729490022173,99.3348115299335,32.7272727272727,11.9733924611973,66.2971175166297,368.425720620843
"572",100,90.0072411296162,98.7931450639633,60.1496500120685,57.5187062515086,97.9966208061791,22.5440502051653,7.96524257784214,84.5039826212889,332.054067101134
"573",100,95.9670027497709,95.7836846929422,65.7195233730522,85.3345554537122,99.6333638863428,53.5288725939505,16.7736021998167,62.1448212648946,475.618698441797
"574",100,100,98.4788120246288,91.3256066642521,55.3603766751177,97.9174212241941,27.7797899311844,7.0264396957624,79.2466497645781,371.423397319812
"575",100,97.4086378737542,95.6810631229236,85.4485049833887,93.8870431893688,99.6677740863787,73.953488372093,15.5481727574751,51.0299003322259,402.392026578073
"576",100,94.2174732872407,97.6744186046512,66.4990571967316,75.0471401634192,96.1030798240101,12.6964173475801,7.22815839094909,81.3953488372093,313.890634820867
"577",100,99.7569444444444,96.3194444444444,61.5625,96.7708333333333,98.6458333333333,74.2013888888889,20.8680555555556,48.3333333333333,523.333333333333
"578",100,98.0714285714286,98.3095238095238,72.1428571428571,79.5476190476191,99.2619047619048,46.9761904761905,16.3095238095238,61.5238095238095,461.928571428571
"579",100,95.4085411009627,96.8402863490496,65.3912614169341,76.4502591952604,99.6544063194273,53.5670204887682,17.8474450752901,60.2073562083436,420.118489261911
"580",100,99.2283339928769,97.4277799762564,89.3945389790265,79.6992481203008,99.7032053818757,48.1005144440048,11.4958448753463,53.3043134151167,394.341115947764
"581",100,98.1989708404803,97.598627787307,95.368782161235,99.5711835334477,100,69.2967409948542,13.1217838765009,64.4082332761578,423.927958833619
"582",100,97.0238095238095,98.6863711001642,73.7068965517241,59.8111658456486,98.9942528735632,29.7413793103448,9.46223316912972,81.23973727422,364.203612479475
"583",100,96.3477210987021,95.8345910051313,79.6860851192273,72.1702384545729,98.8530033202535,40.024147298521,13.7639601569574,60.790824026562,307.455478418352
"584",100,99.1754466330737,97.2056802565277,82.6156665139716,66.376546037563,98.5112230874943,33.3027943197435,10.6046724690792,68.4379294548786,445.167201099405
"585",100,92.8417818740399,98.4024577572965,74.6850998463902,87.8955453149002,95.4531490015361,54.9308755760369,15.9754224270353,62.1198156682028,456.743471582181
"586",100,96.5131158029431,98.5924504158669,74.8560460652591,80.4542546385157,99.4241842610365,32.2776711452335,11.7722328854766,65.0351887396033,470.249520153551
"587",100,92.5729927007299,98.6678832116788,67.7554744525547,67.4270072992701,99.5985401459854,22.8102189781022,8.81386861313869,73.029197080292,366.970802919708
"588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590",100,95.2221478008484,97.722705961152,74.5255637419067,71.042643447198,99.0846171020317,32.0160750167448,6.40768028577808,72.8064300066979,356.910024559053
"591",100,90.0924214417745,97.634011090573,54.1959334565619,66.4695009242144,98.7430683918669,32.8280961182994,17.4121996303142,72.2735674676525,426.654343807763
